caso;snm
1;Primaria
2;Primaria
3;Primaria
4;Primaria
5;ESO
6;Primaria
7;ESO
8;Primaria
9;ESO
10;ESO
11;Primaria
13;ESO
14;Primaria
15;ESO
16;Primaria
17;Primaria
18;Primaria
19;ESO
20;ESO
22;Primaria
23;Primaria
24;Primaria
25;Primaria
27;ESO
28;ESO
29;ESO
30;Primaria
31;Primaria
32;Primaria
34;Primaria
35;Primaria
36;ESO
37;Primaria
39;ESO
40;ESO
41;ESO
42;ESO
44;Primaria
45;ESO
46;ESO
47;ESO
48;ESO
49;Primaria
50;ESO
51;ESO
52;Primaria
53;Primaria
54;Primaria
55;ESO
56;ESO
57;ESO
58;Primaria
59;ESO
60;ESO
62;Primaria
63;Primaria
65;ESO
67;ESO
68;Primaria
69;Primaria
70;Primaria
71;Post-obligatorio
74;Primaria
75;Primaria
76;ESO
77;ESO
78;Primaria
79;ESO
80;ESO
81;Primaria
82;Primaria
83;Primaria
84;Primaria
85;ESO
86;ESO
87;Primaria
88;ESO
89;Post-obligatorio
90;Primaria
91;ESO
92;Primaria
94;ESO
95;Primaria
96;Primaria
97;ESO
98;Post-obligatorio
99;Primaria
102;Primaria
104;Post-obligatorio
105;ESO
106;ESO
108;Primaria
